Date,NAV
2025-09-22,0.7169
2025-09-23,0.7142
2025-09-24,0.7115
2025-09-25,0.7044
2025-09-26,0.7092
2025-09-29,0.711
2025-09-30,0.7125
2025-10-01,0.7178
2025-10-02,0.7191
2025-10-03,0.7201
2025-10-06,0.7217
2025-10-07,0.7186
2025-10-08,0.721
2025-10-09,0.7189
2025-10-10,0.7017
2025-10-13,0.7119
2025-10-14,0.7107
2025-10-15,0.7147
2025-10-16,0.7161
2025-10-17,0.7164
2025-10-21,0.7226
2025-10-22,0.7179
2025-10-23,0.7224
2025-10-24,0.725
2025-10-27,0.733
2025-10-28,0.7329
2025-10-29,0.7324
2025-10-30,0.7249
2025-10-31,0.7247
2025-11-03,0.7257
2025-11-04,0.7148
2025-11-05,0.718
2025-11-06,0.7116
2025-11-07,0.7111
2025-11-10,0.7225
2025-11-11,0.7242
2025-11-12,0.7266
2025-11-13,0.7154
2025-11-14,0.7124
2025-11-17,0.706
2025-11-18,0.6997
2025-11-19,0.6989
2025-11-20,0.6904
2025-11-21,0.6953
2025-11-24,0.7032
2025-11-25,0.712
2025-11-26,0.7168
2025-11-27,0.7168
2025-11-28,0.7199
2025-12-01,0.7144
2025-12-02,0.7162
2025-12-03,0.7195
2025-12-04,0.7209
2025-12-05,0.7215
2025-12-08,0.7198
2025-12-09,0.7177
2025-12-10,0.7228
2025-12-11,0.7251
2025-12-12,0.7189
2025-12-15,0.7183
2025-12-16,0.7171
2025-12-17,0.7098
2025-12-18,0.7167
2025-12-19,0.7213
2025-12-22,0.7255
2025-12-23,0.7285
2025-12-24,0.7285
2025-12-26,0.7285
2025-12-29,0.728
2025-12-30,0.7277
2025-12-31,0.7236
2026-01-02,0.7273
2026-01-05,0.7364
2026-01-06,0.7423
2026-01-07,0.741
2026-01-08,0.7382
2026-01-09,0.7443
2026-01-12,0.7466
2026-01-13,0.7418
2026-01-14,0.7375
2026-01-15,0.7388
2026-01-16,0.7393
2026-01-19,0.7393
2026-01-20,0.7266
2026-01-21,0.7325
2026-01-22,0.7365
2026-01-23,0.7382
2026-01-26,0.74
2026-01-27,0.7459
2026-01-28,0.7423
2026-01-29,0.7447
2026-01-30,0.7376
2026-02-03,0.7311
2026-02-04,0.7271
2026-02-05,0.7172
2026-02-06,0.7311
2026-02-09,0.7385
2026-02-10,0.7372
2026-02-11,0.7372
2026-02-12,0.7259
2026-02-13,0.7256
2026-02-16,0.7256
2026-02-19,0.7305
2026-02-20,0.7348
2026-02-23,0.7267
2026-02-24,0.7325
2026-02-25,0.7389
2026-02-26,0.738
2026-02-27,0.737
2026-03-02,0.7312
2026-03-03,0.7151
2026-03-04,0.7194
2026-03-05,0.7137
2026-03-06,0.7072
2026-03-09,0.7108
2026-03-10,0.7128
2026-03-11,0.7129
2026-03-12,0.6999
2026-03-13,0.6929
2026-03-16,0.7008
2026-03-17,0.7033
2026-03-18,0.6937
2026-03-19,0.6903
2026-03-24,0.6814
2026-03-25,0.6872
2026-03-26,0.6727
2026-03-27,0.6611
2026-03-30,0.6599
2026-03-31,0.6808
2026-04-01,0.6907
2026-04-02,0.6872
2026-04-03,0.6872
2026-04-06,0.6872
2026-04-07,0.6882
2026-04-08,0.7138
2026-04-09,0.7146
2026-04-10,0.7146
2026-04-13,0.7222
2026-04-14,0.7321
2026-04-15,0.7367
2026-04-16,0.735
2026-04-17,0.7446
2026-04-20,0.7391
2026-04-21,0.7309
2026-04-22,0.7351
2026-04-23,0.7287
2026-04-24,0.7339
2026-04-27,0.7343
2026-04-28,0.7283
2026-04-29,0.725
